url,Picture URL,Brand,Product Name,Model,Price in India,stock,Type,Color,Dimensions(WxHxD),,Effective Pixels,Display Type,Display Size,,Sensor Size,Video Resolution,Description
https://gadgets.ndtv.com/panasonic-lumix-dc-gh5ga-20-33mp-dslr-camera-11856,https://i.gadgets360cdn.com/products/cameras/large/1548234942_832_panasonic_lumix-dc-gh5lga-20-33mp-dslr-camera.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Panasonic,Panasonic linux,Lumix DC GH5LGA 20.33MP DSLR Camera,"₹ 107,500",5,DSLR Camera,Black,138.5 x 98.1 x 87.4 mm,,20.33 MP,TFT LCD,3.1 inch,,17.3 x 13.0 mm,3840x2160,"Type:DSLR Camera,Color:Black,Dimensions:138.5 x 98.1 x 87.4 mm,Effective Pixels:20.33 MP,Display Type:TFT LCD,Display Size:3.1 inch,Sensor Size:17.3 x 13.0 mm,Video Resolution:3840x2160,Maximum ISO:6400 ISO"
https://gadgets.ndtv.com/panasonic-lumix-dmc-gx8k-20-3mp-dslr-camera-11873,https://i.gadgets360cdn.com/products/cameras/large/1548234934_832_panasonic_lumix-dc-gh5ga-20-33mp-dslr-camera.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Panasonic,"Panasonic Lumix DC GH5GA DSLR Camera (20.3MP, Black)",Lumix DC GH5GA 20.33MP DSLR Camera,"₹ 107,588",5,DSLR Camera,Black,138.5 x 98.1 x 87.4 mm,,20.33 MP,TFT LCD,3.1 inch,,17.3 x 13.0 mm,4096x2160,"Type:DSLR Camera,Color:Black,Dimensions:138.5 x 98.1 x 87.4 mm,Effective Pixels:20.33 MP,Display Type:TFT LCD,Display Size:3.1 inch,Image Format:,Sensor Size:17.3 x 13.0 mm,Video Resolution:4096x2160,Maximum ISO:12800 ISO"
https://gadgets.ndtv.com/nikon-d7200-24-2mp-dslr-camera-11832,https://i.gadgets360cdn.com/products/cameras/large/1548234953_832_panasonic_lumix-dmc-gx8k-20-3mp-dslr-camera.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Panasonic,"Panasonic Lumix DMC GX8K DSLR Camera (20.3MP, Black)",Lumix DMC GX8K 20.3MP DSLR Camera,"₹ 153,716",5,DSLR Camera,Black,133.2 x 77.9 x 63.1 mm,,20.3 MP,OLED,3 inch,,17.3 x 13.0 mm,,"Type:DSLR Camera,Color:Black,Dimensions:133.2 x 77.9 x 63.1 mm,Effective Pixels:20.3 MP,Display Type:OLED,Display Size:3 inch,Image Format:,Sensor Size:17.3 x 13.0 mm,Video Resolution:,Maximum ISO:25600 ISO"
https://gadgets.ndtv.com/panasonic-lumix-dmc-gh4a-16-05mp-dslr-camera-11869,https://i.gadgets360cdn.com/products/cameras/large/1548234910_832_nikon_d7200-24-2mp-dslr-camera.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Nikon,"Nikon D7200 DSLR Camera (24.2MP, Black)",D7200 24.2MP DSLR Camera,"₹ 81,400",5,DSLR Camera,Black,135.5 x 106.5 x 76 mm,,24.2 MP,TFT LCD,3.2 inch,,23.5 x 15.6 mm,1920 x 1080,"Type:DSLR Camera,Color:Black,Dimensions:135.5 x 106.5 x 76 mm,Effective Pixels:24.2 MP,Display Type:TFT LCD,Display Size:3.2 inch,Image Format:,Sensor Size:23.5 x 15.6 mm,Video Resolution:1920 x 1080,Maximum ISO:"
https://gadgets.ndtv.com/panasonic-lumix-g7-16-0mp-dslr-camera-11884,https://i.gadgets360cdn.com/products/cameras/large/1548234948_832_panasonic_lumix-dmc-gh4a-16-05mp-dslr-camera.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Panasonic,"Panasonic Lumix DMC GH4A DSLR Camera (16MP, Black)",Lumix DMC GH4A 16.05MP DSLR Camera,"₹ 99,990",5,DSLR Camera,Black,132.9 x 93.4 x 83.9 mm,,16.05 MP,OLED,3 inch,,17.3 x 13.0 mm,,"Type:DSLR Camera,Color:Black,Dimensions:132.9 x 93.4 x 83.9 mm,Effective Pixels:16.05 MP,Display Type:OLED,Display Size:3 inch,Image Format:,Sensor Size:17.3 x 13.0 mm,Video Resolution:,Maximum ISO:25600 ISO"
https://gadgets.ndtv.com/sony-ilce-7rm3-42-4mp-dslr-camera-11966,https://i.gadgets360cdn.com/products/cameras/large/1548234966_832_panasonic_lumix-g7-16-0mp-dslr-camera.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Panasonic,"Panasonic LUMIX G7 DSLR Camera (16.5MP, Black)",LUMIX G7 16.0MP DSLR Camera,"₹ 37,990",5,DSLR Camera,Black,124.9 x 86.2 x 77.4 mm,,16 MP,TFT LCD,3 inch,,17.3 x 13.0 mm,3840x2160,"Type:DSLR Camera,Color:Black,Dimensions:124.9 x 86.2 x 77.4 mm,Effective Pixels:16 MP,Display Type:TFT LCD,Display Size:3 inch,Image Format:,Sensor Size:17.3 x 13.0 mm,Video Resolution:3840x2160,Maximum ISO:6400 ISO"
https://gadgets.ndtv.com/ricoh-pentax-k-3-ii-23-35mp-dslr-camera-11893,https://i.gadgets360cdn.com/products/cameras/large/1548235059_832_sony_ilce-7rm3-42-4mp-dslr-camera.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Sony,"Sony ILCE 7RM3 DSLR Camera (42.4MP, Black)",ILCE 7RM3 42.4MP DSLR Camera,"₹ 217,990",5,DSLR Camera,Black,126.9 x 95.6 x 73.7 mm,,42.4 MP,TFT,3 inch,,35.9 x 24 mm,,"Type:DSLR Camera,Color:Black,Dimensions:126.9 x 95.6 x 73.7 mm,Effective Pixels:42.4 MP,Display Type:TFT,Display Size:3 inch,Image Format:,Sensor Size:35.9 x 24 mm,Video Resolution:,Maximum ISO:32000 ISO"
https://gadgets.ndtv.com/canon-eos-200d-24-2mp-dslr-camera-11662,https://i.gadgets360cdn.com/products/cameras/large/1548234979_832_ricoh_pentax-k-3-ii-23-35mp-dslr-camera.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Ricoh,"Ricoh Pentax K-3 II DSLR Camera (24MP, Black)",Pentax K-3 II 23.35MP DSLR Camera,"₹ 101,000",5,DSLR Camera,Black,10 x 7.2 x 4.8 inch,,23.35 MP,TFT LCD,3.2 inch,,36 x 24 mm,1920 x 1080,"Type:DSLR Camera,Color:Black,Dimensions:10 x 7.2 x 4.8 inch,Effective Pixels:23.35 MP,Display Type:TFT LCD,Display Size:3.2 inch,Image Format:,Sensor Size:36 x 24 mm,Video Resolution:1920 x 1080,Maximum ISO:51200 ISO"
https://gadgets.ndtv.com/canon-eos-6d-mark-ii-26-2mp-dslr-camera-11673,https://i.gadgets360cdn.com/products/cameras/large/1548234726_832_canon_eos-200d-24-2mp-dslr-camera.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Canon,"Canon EOS 200D DSLR Camera (24.2MP, Black)",EOS 200D 24.2MP DSLR Camera,"₹ 59,999",5,DSLR Camera,Black,122.4 x 92.6 x 69.8 mm,,24.2 MP,TFT,3 inch,,22.3 x 14.9 mm,6000 x 4000,"Type:DSLR Camera,Color:Black,Dimensions:122.4 x 92.6 x 69.8 mm,Effective Pixels:24.2 MP,Display Type:TFT,Display Size:3 inch,Image Format:,Sensor Size:22.3 x 14.9 mm,Video Resolution:6000 x 4000,Maximum ISO:25600 ISO"
https://gadgets.ndtv.com/panasonic-lumix-dc-gx850k-16-0mp-dslr-camera-11859,https://i.gadgets360cdn.com/products/cameras/large/1548234738_832_canon_eos-6d-mark-ii-26-2mp-dslr-camera.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Canon,"Canon EOS 6D Mark II DSLR Camera (26.2MP, Black)",EOS 6D Mark II 26.2MP DSLR Camera,"₹ 194,999",5,DSLR Camera,Black,144 x 110.5 x 74.8 mm,,26.2 MP,TFT,3 inch,,35.9 x 24 mm,1920 x 1080,"Type:DSLR Camera,Color:Black,Dimensions:144 x 110.5 x 74.8 mm,Effective Pixels:26.2 MP,Display Type:TFT,Display Size:3 inch,Image Format:,Sensor Size:35.9 x 24 mm,Video Resolution:1920 x 1080,Maximum ISO:40000 ISO"
