url,Picture URL,Product Name,Price in India,Total Ratings,Type,Rating,1 Stars,2 Stars,3 Stars,4 Stars,5 Stars,Description,Hard Disk,Console Type,AV Digital Output,RAM,Input method,Screen Size,USB,Processor,Graphics,Weight,Console Family,Launched
https://gadgets.ndtv.com/nintendo-2ds-xl-12001,https://i.gadgets360cdn.com/products/large/1549533234_635_New_Nintendo_2DS_XL.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,New Nintendo 2DS XL (Black/Turquoise),"₹ 27,999",755,Gaming console,4.316831683,9,4,3,10,74," Hard Disk : 1GB, Console Type : Handheld Console, AV Digital Output : No, RAM : 256MB, Input Method : Cartridge, Screen Size : 4.88-inches (upper); 4.18-inches (lower), USB Ports : No, Processor : 804 MHz ARM11 MPCore quad-core, Graphics : 204 MHz DMP PICA200, Weight : 261g, Console Family : Nintendo DS, Launched : 42887",1GB,Handheld Console,No,256MB,Cartridge,4.88-inches (upper); 4.18-inches (lower),No,804 MHz ARM11 MPCore quad-core,204 MHz DMP PICA200,261g,Nintendo DS,June 2017
https://gadgets.ndtv.com/new-nintendo-3ds-xl-12000,https://i.gadgets360cdn.com/products/large/1549532799_635_new_nintendo_3ds_xl.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,New Nintendo 3DS XL Monster Hunter (Red),"₹ 114,696",237,Gaming console,4.336633663,8,4,4,10,74," Hard Disk : 1GB, Console Type : Handheld Console, AV Digital Output : No, RAM : 256MB, Input Method : Cartridge, Screen Size : 4.88-inches (upper); 4.18-inches (lower), USB Ports : No, Processor : 804 MHz ARM11 MPCore quad-core, Graphics : 204 MHz DMP PICA200, Weight : 336g, Console Family : Nintendo DS, Launched : 42036",1GB,Handheld Console,No,256MB,Cartridge,4.88-inches (upper); 4.18-inches (lower),No,804 MHz ARM11 MPCore quad-core,204 MHz DMP PICA200,336g,Nintendo DS,February 2015
https://gadgets.ndtv.com/new-nintendo-3ds-xl-12000,https://i.gadgets360cdn.com/products/large/1549532799_635_new_nintendo_3ds_xl.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,New Nintendo 3DS XL Pikachu Edition (Yellow),"₹ 78,847",237,Gaming console,4.336633663,8,4,4,10,74," Hard Disk : 1GB, Console Type : Handheld Console, AV Digital Output : No, RAM : 256MB, Input Method : Cartridge, Screen Size : 4.88-inches (upper); 4.18-inches (lower), USB Ports : No, Processor : 804 MHz ARM11 MPCore quad-core, Graphics : 204 MHz DMP PICA200, Weight : 336g, Console Family : Nintendo DS, Launched : 42036",1GB,Handheld Console,No,256MB,Cartridge,4.88-inches (upper); 4.18-inches (lower),No,804 MHz ARM11 MPCore quad-core,204 MHz DMP PICA200,336g,Nintendo DS,February 2015
https://gadgets.ndtv.com/new-nintendo-3ds-xl-12000,https://i.gadgets360cdn.com/products/large/1549532799_635_new_nintendo_3ds_xl.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,New Nintendo 3DS XL Monster Hunter (Blue),"₹ 19,990",237,Gaming console,4.336633663,8,4,4,10,74," Hard Disk : 1GB, Console Type : Handheld Console, AV Digital Output : No, RAM : 256MB, Input Method : Cartridge, Screen Size : 4.88-inches (upper); 4.18-inches (lower), USB Ports : No, Processor : 804 MHz ARM11 MPCore quad-core, Graphics : 204 MHz DMP PICA200, Weight : 336g, Console Family : Nintendo DS, Launched : 42036",1GB,Handheld Console,No,256MB,Cartridge,4.88-inches (upper); 4.18-inches (lower),No,804 MHz ARM11 MPCore quad-core,204 MHz DMP PICA200,336g,Nintendo DS,February 2015
https://gadgets.ndtv.com/nintendo-3ds-11994,https://i.gadgets360cdn.com/products/large/1549529354_635_nintendo_3ds.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Nintendo 3DS (Black),"₹ 60,000",386,Gaming console,4.3,8,3,6,12,70," Hard Disk : 1GB, Console Type : Handheld Console, AV Digital Output : No, RAM : 128MB, Input Method : Cartridge, Screen Size : 3.53-inch (upper); 3-inch (lower), USB Ports : No, Processor : 268MHz Dual-Core ARM11 MPCore, Graphics : DMP PICA200 GPU, Weight : 230g, Console Family : Nintendo DS, Launched : 40603",1GB,Handheld Console,No,128MB,Cartridge,3.53-inch (upper); 3-inch (lower),No,268MHz Dual-Core ARM11 MPCore,DMP PICA200 GPU,230g,Nintendo DS,March 2011
https://gadgets.ndtv.com/nintendo-3ds-11994,https://i.gadgets360cdn.com/products/large/1549529354_635_nintendo_3ds.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Nintendo 3DS (Midnight Purple),"₹ 42,330",386,Gaming console,4.3,8,3,6,12,70," Hard Disk : 1GB, Console Type : Handheld Console, AV Digital Output : No, RAM : 128MB, Input Method : Cartridge, Screen Size : 3.53-inch (upper); 3-inch (lower), USB Ports : No, Processor : 268MHz Dual-Core ARM11 MPCore, Graphics : DMP PICA200 GPU, Weight : 230g, Console Family : Nintendo DS, Launched : 40603",1GB,Handheld Console,No,128MB,Cartridge,3.53-inch (upper); 3-inch (lower),No,268MHz Dual-Core ARM11 MPCore,DMP PICA200 GPU,230g,Nintendo DS,March 2011
https://gadgets.ndtv.com/nintendo-2ds-xl-12001,https://i.gadgets360cdn.com/products/large/1549533234_635_New_Nintendo_2DS_XL.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,New Nintendo 2DS XL Pikachu Edition (Yellow),"₹ 30,075",755,Gaming console,4.316831683,9,4,3,10,74," Hard Disk : 1GB, Console Type : Handheld Console, AV Digital Output : No, RAM : 256MB, Input Method : Cartridge, Screen Size : 4.88-inches (upper); 4.18-inches (lower), USB Ports : No, Processor : 804 MHz ARM11 MPCore quad-core, Graphics : 204 MHz DMP PICA200, Weight : 261g, Console Family : Nintendo DS, Launched : 42887",1GB,Handheld Console,No,256MB,Cartridge,4.88-inches (upper); 4.18-inches (lower),No,804 MHz ARM11 MPCore quad-core,204 MHz DMP PICA200,261g,Nintendo DS,June 2017
https://gadgets.ndtv.com/nintendo-2ds-xl-12001,https://i.gadgets360cdn.com/products/large/1549533234_635_New_Nintendo_2DS_XL.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,New Nintendo 2DS XL (White/Orange),"₹ 21,990",755,Gaming console,4.316831683,9,4,3,10,74," Hard Disk : 1GB, Console Type : Handheld Console, AV Digital Output : No, RAM : 256MB, Input Method : Cartridge, Screen Size : 4.88-inches (upper); 4.18-inches (lower), USB Ports : No, Processor : 804 MHz ARM11 MPCore quad-core, Graphics : 204 MHz DMP PICA200, Weight : 261g, Console Family : Nintendo DS, Launched : 42887",1GB,Handheld Console,No,256MB,Cartridge,4.88-inches (upper); 4.18-inches (lower),No,804 MHz ARM11 MPCore quad-core,204 MHz DMP PICA200,261g,Nintendo DS,June 2017
https://gadgets.ndtv.com/nintendo-switch-11991,https://i.gadgets360cdn.com/products/large/1549526400_635_nintendo_switch_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Nintendo Switch (Black),"₹ 31,739","1,009",Gaming console,4.188118812,13,3,4,8,72," Hard Disk : 32GB, Console Type : Handheld Console, AV Digital Output : , RAM : 4GB, Input Method : Cartridge, Screen Size : 6.2 inches, USB Ports : 1 USB 3.0 port, 2 USB 2.0 ports (on dock); 1 USB Type-C port (on unit), Processor : ARM Cortex Octa-Core, Graphics : NVIDIA G20M Maxwell-based GPU, Weight : 297g (unit only), 694g (unit + dock), Console Family : Nintendo Switch, Launched : 42795",32GB,Handheld Console,,4GB,Cartridge,6.2 inches,"1 USB 3.0 port, 2 USB 2.0 ports (on dock); 1 USB Type-C port (on unit)",ARM Cortex Octa-Core,NVIDIA G20M Maxwell-based GPU,"297g (unit only), 694g (unit + dock)",Nintendo Switch,March 2017
https://gadgets.ndtv.com/nintendo-wii-u-11992,https://i.gadgets360cdn.com/products/large/1549528045_635_nintendo_wii_u_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Nintendo Wii U,"₹ 107,441",168,Gaming console,4.653465347,3,2,1,10,84," Hard Disk : 8GB, 32GB, Console Type : Hybrid (Home Console + Handheld Console), AV Digital Output : Composite video (S-Video, RGB SCART); Component video (YPBPR, D-Terminal); Wii U GamePad, RAM : 2GB RAM, Input Method : Disc, Screen Size : , USB Ports : 4 USB 2.0 ports, Processor : 1.24GHz IBM PowerPC, Graphics : 550MHz AMD Radeon, Weight : 1.5kg, Console Family : Nintendo Wii, Launched : 41214","8GB, 32GB",Hybrid (Home Console + Handheld Console),"Composite video (S-Video, RGB SCART); Component video (YPBPR, D-Terminal); Wii U GamePad",2GB RAM,Disc,,4 USB 2.0 ports,1.24GHz IBM PowerPC,550MHz AMD Radeon,1.5kg,Nintendo Wii,November 2012
