link,Product Name,Picture URL,Price in India,Rating,Total Ratings,Type,Description
https://gadgets.ndtv.com/micromax-in-note-1-price-in-india-98202?pfrom=topstory,Micromax In Note 1,https://i.gadgets360cdn.com/products/large/micromax-in-note-1-370x800-1604390182.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 10,999",4.450980392,1000,Laptop,"RAM : 4GB, SIZE : , SSD : , Operating System : Android 10, HDD : , Model Number : , Processor : 2GHz octa-core, Graphics : , Resolution : 1080x2400 pixels, Weight : , Dimensions : 165.24 x 76.95 x 8.99, Bluetooth version : , Base clock speed : , USB Ports : , Battery Life : , Expandable RAM(in GB) : "
https://gadgets.ndtv.com/hp-pavilion-15-ab205tx-5055,HP Pavilion 15-ab205tx,https://i.gadgets360cdn.com/products/laptops/large/1525204288_635_pavilion-15-ab205tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 49,790",4.14,1000,Laptop,"RAM : 4GB, SIZE : 15.60-inch, SSD : No, Operating System : Windows 10 Home, HDD : 1TB, Model Number : 15-ab205tx, Processor : Intel Core i5 5th Gen 5200U, Graphics : AMD Radeon R5 M335, Resolution : 1920x1080 pixels, Weight : 2.9, Dimensions : 384.50 x 261.10 x 25.20, Bluetooth version : 4, Base clock speed : 2.2 GHz, USB Ports : 1 x USB 2.0, 2 x USB 3.0, Battery Life : 4, Expandable RAM(in GB) : 16GB"
https://gadgets.ndtv.com/hp-pavilion-15-au626tx-5381,HP Pavilion 15-AU626TX,https://i.gadgets360cdn.com/products/laptops/large/1546453021_635_hp_pavilion-15-au626tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 69,980",3.564356436,1000,Laptop,"RAM : 16GB, SIZE : 15.60-inch, SSD : No, Operating System : Windows 10, HDD : 2TB, Model Number : 15-AU626TX, Processor : Intel Core i5 7th Gen 7200U, Graphics : Nvidia GeForce 940MX, Resolution : 1366x768 pixels, Weight : 2.04, Dimensions : 383.00 x 243.00 x 22.50, Bluetooth version : 4.2, Base clock speed : 2.5 GHz, USB Ports : 1 x USB 2.0, Battery Life : 5, Expandable RAM(in GB) : 16GB"
https://gadgets.ndtv.com/asus-r558uq-dm539d-5335,Asus R558UQ-DM539D,https://i.gadgets360cdn.com/products/laptops/large/1525207642_635_r558uq-dm539d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 35,490",3.732673267,1000,Laptop,"RAM : 4GB, SIZE : 15.60-inch, SSD : No, Operating System : DOS, HDD : 1TB, Model Number : R558UQ-DM539D, Processor : Intel Core i5 7th Gen 7200U, Graphics : Nvidia GeForce 940MX, Resolution : 1920x1080 pixels, Weight : 2.3, Dimensions : 382.00 x 256.00 x 25.50, Bluetooth version : 4, Base clock speed : 2.5 GHz, USB Ports : 1 x USB 2.0, 1 x USB 3.0, 1 x USB 3.1 Gen 1 (Type C), Battery Life : 4.5, Expandable RAM(in GB) : 12GB"
https://gadgets.ndtv.com/hp-240-g4-5066,HP 240 G4,https://i.gadgets360cdn.com/products/laptops/large/1525204305_635_240-g4.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 27,500",3.326732673,1000,Laptop,"RAM : 4GB, SIZE : 14.00-inch, SSD : No, Operating System : DOS, HDD : 500GB, Model Number : 240 G4, Processor : Intel Core i3 5th Gen 5010U, Graphics : AMD Radeon R5 M330, Resolution : 1366x768 pixels, Weight : 1.9, Dimensions : 345.40 x 2415.00 x 23.90, Bluetooth version : 4, Base clock speed : 2.1 GHz, USB Ports : 2 x USB 2.0, 1 x USB 3.0, Battery Life : 3, Expandable RAM(in GB) : 8GB"
https://gadgets.ndtv.com/xiaomi-redmi-note-9-pro-5g-price-in-india-98730?pfrom=topstory,Xiaomi Redmi Note 9 Pro 5G,https://i.gadgets360cdn.com/products/large/redmi-note-9-pro-5G-320x800-1606890534.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,0,1000,Laptop,"RAM : 6GB, SIZE : , SSD : , Operating System : Android 10, HDD : , Model Number : , Processor : 1.8GHz octa-core, Graphics : , Resolution : 1080x2400 pixels, Weight : , Dimensions : 165.38 x 76.80 x 9.00, Bluetooth version : , Base clock speed : , USB Ports : , Battery Life : , Expandable RAM(in GB) : "
https://gadgets.ndtv.com/acer-aspire-e-e1-572g-4787,Acer Aspire E E1-572G,https://i.gadgets360cdn.com/products/laptops/large/1525201889_635_aspire-e-e1-572g.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 59,500",2.722772277,1000,Laptop,"RAM : 4GB, SIZE : 15.60-inch, SSD : No, Operating System : Linux, HDD : 1TB, Model Number : E1-572G, Processor : Intel Core i7 4th Gen 4500U, Graphics : AMD Radeon 8750M, Resolution : 1366x768 pixels, Weight : 2.4, Dimensions : 381.60 x 256.00 x 25.30, Bluetooth version : 4, Base clock speed : 1.8 GHz, USB Ports : 2 x USB 2.0, 1 x USB 3.0, Battery Life : 4, Expandable RAM(in GB) : 8GB"
https://gadgets.ndtv.com/dell-inspiron-3000-3543-5022,Dell Inspiron 3000 3543,https://i.gadgets360cdn.com/products/laptops/large/1525204181_635_inspiron-3000-3543.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 28,099",3.245098039,1000,Laptop,"RAM : 4GB, SIZE : 15.60-inch, SSD : No, Operating System : Windows 10 Home, HDD : 1TB, Model Number : 3543, Processor : Intel Core i5 5th Gen 5200U, Graphics : Nvidia GeForce 820M, Resolution : 1366x768 pixels, Weight : 2.5, Dimensions : 384.00 x 267.00 x 26.60, Bluetooth version : 4, Base clock speed : 2.2 GHz, USB Ports : 2 x USB 2.0, 1 x USB 3.0, Battery Life : 4, Expandable RAM(in GB) : 8GB"
https://gadgets.ndtv.com/asus-x550lc-xx119h-4852,Asus X550LC-XX119H,https://i.gadgets360cdn.com/products/laptops/large/1525202003_635_x550lc-xx119h.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 46,000",3.3,1000,Laptop,"RAM : 4GB, SIZE : 15.60-inch, SSD : No, Operating System : Windows 8, HDD : 750GB, Model Number : X550LC-XX119H, Processor : Intel Core i5 4th Gen 4200U, Graphics : Nvidia GeForce 720M, Resolution : 1366x768 pixels, Weight : 2.3, Dimensions : 380.00 x 251.00 x 31.70, Bluetooth version : 4, Base clock speed : 1.6 GHz, USB Ports : 1 x USB 2.0, Battery Life : , Expandable RAM(in GB) : 8GB"
https://gadgets.ndtv.com/hp-pavilion-15-au020tx-5229,HP Pavilion 15-AU020TX,https://i.gadgets360cdn.com/products/laptops/large/1546454284_635_hp_pavilion-15-au020tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 72,500",0,1000,Laptop,"RAM : 4GB, SIZE : 15.60-inch, SSD : No, Operating System : Windows 10, HDD : 1TB, Model Number : 15-AU020TX, Processor : Intel Core i7 6th Gen 6500U, Graphics : Nvidia GeForce 940MX, Resolution : 1920x1080 pixels, Weight : 2, Dimensions : 383.00 x 243.00 x 225.00, Bluetooth version : 4.2, Base clock speed : 2.5 GHz, USB Ports : 1 x USB 2.0, 2 x USB 3.0, Battery Life : 3, Expandable RAM(in GB) : 16GB"
