url,Picture URL,Product Name,Price in India,Type,Total Ratings,Rating,1 Stars,2 Stars,3 Stars,4 Stars,5 Stars,Description,Front camera,Screen size (inches),Rear camera,Wi-Fi,Internal storage,Resolution,Operating system,Processor,RAM,NFC,Expandable storage Tablet,Processor make,Weight (g),Dimensions (mm),Battery capacity (mAh),Expandable storage up to (GB),Bluetooth version,Colours,Pixels per inch (PPI)
https://gadgets.ndtv.com/swipe-slice-1789,https://drop.ndtv.com/TECH/product_database/images/7232014104618AM_635_swipe_slice.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Swipe Slice Tablet (4GB, 7 Inches, WI-FI, Black)","₹ 2,990",Tablet,174,2.891089109,35,8,16,12,29, Front Camera : 0.3-megapixel Rear Camera : 2-megapixel Screen size : 7 Internal Storage : 4GB Resolution : 480x800 pixels Operating system : Android 4.2.2 Processor : 1.3GHz dual-core RAM : 512MB Processor Manufacturer : MediaTek MT8312 Weight :  Dimensions : 189.00 x 108.00 x 10.00 Battery capacity : 3000 PPI : ,0.3-megapixel,7,2-megapixel,Yes,4GB,480x800 pixels,Android 4.2.2,1.3GHz dual-core,512MB,No,microSD,MediaTek MT8312,,189.00 x 108.00 x 10.00,3000,32,4,"Black, White, Yellow, Red, Blue",
https://gadgets.ndtv.com/swipe-slice-1789,https://drop.ndtv.com/TECH/product_database/images/7232014104618AM_635_swipe_slice.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Swipe Slice Tablet (4GB, 7 Inches, WI-FI, White)","₹ 3,389",Tablet,174,2.891089109,35,8,16,12,29, Front Camera : 0.3-megapixel Rear Camera : 2-megapixel Screen size : 7 Internal Storage : 4GB Resolution : 480x800 pixels Operating system : Android 4.2.2 Processor : 1.3GHz dual-core RAM : 512MB Processor Manufacturer : MediaTek MT8312 Weight :  Dimensions : 189.00 x 108.00 x 10.00 Battery capacity : 3000 PPI : ,0.3-megapixel,7,2-megapixel,Yes,4GB,480x800 pixels,Android 4.2.2,1.3GHz dual-core,512MB,No,microSD,MediaTek MT8312,,189.00 x 108.00 x 10.00,3000,32,4,"Black, White, Yellow, Red, Blue",
https://gadgets.ndtv.com/lenovo-tab-2-a8-lte-2449,https://cdn.gadgets360.com/content/assets/products/lenovo-tab-2-a8-lte-2449_960X480_1438858212.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Lenovo Tab 2 A8-50LC Tablet (16GB, 8 Inches, WI-FI, Blue)","₹ 15,000",Tablet,44,3.663366337,16,7,18,9,50, Front Camera : 2-megapixel Rear Camera : 5-megapixel Screen size : 8 Internal Storage : 8GB Resolution : 1280x720 pixels Operating system : Android 5.0 Processor : 1.3GHz quad-core RAM : 1GB Processor Manufacturer : MediaTek MT8735 Weight : 360 Dimensions : 125.00 x 210.00 x 8.90 Battery capacity : 4290 PPI : ,2-megapixel,8,5-megapixel,Yes,8GB,1280x720 pixels,Android 5.0,1.3GHz quad-core,1GB,No,microSD,MediaTek MT8735,360,125.00 x 210.00 x 8.90,4290,32,4,"Pearl White, Ebony, Midnight Blue, Neon Pink",
https://gadgets.ndtv.com/karbonn-st72-2161,https://drop.ndtv.com/TECH/product_database/images/11202014115428AM_635_karbonn_st72.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Karbonn ST-72 Tablet (4GB, 7 Inches, WI-FI, White)","₹ 4,499",Tablet,6,2.970588235,17,17,33,17,17, Front Camera : 3.2-megapixel Rear Camera : 3.2-megapixel Screen size : 7 Internal Storage : 4GB Resolution : 1024x600 pixels Operating system : Android 4.4.2 Processor : 1.3GHz quad-core RAM : 512MB Processor Manufacturer :  Weight : 290 Dimensions : 184.50 x 100.00 x 8.90 Battery capacity : 2800 PPI : ,3.2-megapixel,7,3.2-megapixel,Yes,4GB,1024x600 pixels,Android 4.4.2,1.3GHz quad-core,512MB,No,microSD,,290,184.50 x 100.00 x 8.90,2800,32,4,"Black, White, Grey",
https://gadgets.ndtv.com/iball-slide-3g-9017-d50-2098,https://drop.ndtv.com/TECH/product_database/images/1028201443504PM_635_iball_slide_3g_9017_d50.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"iBall Slide 9017-D50 Tablet (8GB, 9 Inches, WI-FI, Black)","₹ 10,000",Tablet,37,3.274509804,24,3,22,22,30, Front Camera : 2-megapixel Rear Camera : 2-megapixel Screen size : 9 Internal Storage : 8GB Resolution : 600x1024 pixels Operating system : Android 4.4 Processor : 1.3GHz dual-core RAM : 1GB Processor Manufacturer :  Weight : 511 Dimensions : 245.00 x 156.00 x 11.00 Battery capacity : 4000 PPI : ,2-megapixel,9,2-megapixel,Yes,8GB,600x1024 pixels,Android 4.4,1.3GHz dual-core,1GB,No,microSD,,511,245.00 x 156.00 x 11.00,4000,32,4,Black,
https://gadgets.ndtv.com/karbonn-ta-fone-a34-1439,https://drop.ndtv.com/TECH/product_database/images/41201412029PM_635_karbonn_ta_fone_a34.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Karbonn TA-FONE-A34 Tablet (2GB, 7 Inches, WI-FI, White)","₹ 4,100",Tablet,4,1.237623762,75,25,0,0,0, Front Camera : 0.3-megapixel Rear Camera : 2-megapixel Screen size : 7 Internal Storage : 4GB Resolution : 800x480 pixels Operating system : Android 4.0 Processor : 1GHz one-core RAM : 1GB Processor Manufacturer : Cortex-A9 Weight : 335 Dimensions : 124.00 x 197.00 x 12.30 Battery capacity : 3000 PPI : 133,0.3-megapixel,7,2-megapixel,Yes,4GB,800x480 pixels,Android 4.0,1GHz one-core,1GB,No,microSD,Cortex-A9,335,124.00 x 197.00 x 12.30,3000,32,,,133
https://gadgets.ndtv.com/iball-slide-3g-9017-d50-2098,https://drop.ndtv.com/TECH/product_database/images/1028201443504PM_635_iball_slide_3g_9017_d50.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"iBall Slide 9017-D50 Tablet (8GB, 9 Inches, WI-FI, Blue)","₹ 7,999",Tablet,37,3.274509804,24,3,22,22,30, Front Camera : 2-megapixel Rear Camera : 2-megapixel Screen size : 9 Internal Storage : 8GB Resolution : 600x1024 pixels Operating system : Android 4.4 Processor : 1.3GHz dual-core RAM : 1GB Processor Manufacturer :  Weight : 511 Dimensions : 245.00 x 156.00 x 11.00 Battery capacity : 4000 PPI : ,2-megapixel,9,2-megapixel,Yes,8GB,600x1024 pixels,Android 4.4,1.3GHz dual-core,1GB,No,microSD,,511,245.00 x 156.00 x 11.00,4000,32,4,Black,
https://gadgets.ndtv.com/asus-fonepad-8-fe380cg-1656,https://drop.ndtv.com/TECH/product_database/images/62201435006PM_635_asus_fonepad_8.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Asus Fonepad 8 FE380CG-1A071A Tablet (16GB, 8 Inches, WI-FI, Black)","₹ 14,490",Tablet,179,4.06,8,3,8,32,48, Front Camera : 2-megapixel Rear Camera : 5-megapixel Screen size : 8 Internal Storage : 16GB Resolution : 1280x800 pixels Operating system : Android 4.4 Processor : 1.3GHz quad-core RAM : 2GB Processor Manufacturer : Intel Atom Z3530 Weight : 310 Dimensions : 120.00 x 214.00 x 8.90 Battery capacity : 4000 PPI : ,2-megapixel,8,5-megapixel,Yes,16GB,1280x800 pixels,Android 4.4,1.3GHz quad-core,2GB,No,microSD,Intel Atom Z3530,310,120.00 x 214.00 x 8.90,4000,64,4,,
https://gadgets.ndtv.com/iball-slide-q27-4g-3833,https://drop.ndtv.com/TECH/product_database/images/1018201692405AM_635_iball_slide_q27_4g.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"iBall Slide Q27 Tablet (16GB, 10.1 Inches, WI-FI, Charcoal Black)","₹ 11,399",Tablet,107,3.683168317,21,3,9,17,50, Front Camera : 5-megapixel Rear Camera : 5-megapixel Screen size : 10.1 Internal Storage : 16GB Resolution : 800x1280 pixels Operating system : Android 6.0 Processor : 1.3GHz quad-core RAM : 2GB Processor Manufacturer : ARM Cortex A53 Weight :  Dimensions :  Battery capacity : 5500 PPI : 149,5-megapixel,10.1,5-megapixel,No,16GB,800x1280 pixels,Android 6.0,1.3GHz quad-core,2GB,No,microSD,ARM Cortex A53,,,5500,32,4,,149
https://gadgets.ndtv.com/micromax-canvas-tab-p470-2226,https://cdn.gadgets360.com/content/assets/products/micromax-canvas-tab-p470-2226_960X480_1438858106.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Micromax Canvas P470 Tablet (8GB, 7 Inches, WI-FI, Grey)","₹ 7,494",Tablet,74,3.524752475,20,8,7,26,39, Front Camera : 0.3-megapixel Rear Camera : 5-megapixel Screen size : 7 Internal Storage : 8GB Resolution : 1024x600 pixels Operating system : Android 4.4.2 Processor : 1.3GHz dual-core RAM : 1GB Processor Manufacturer : MediaTek MT8312 Weight :  Dimensions :  Battery capacity : 3200 PPI : ,0.3-megapixel,7,5-megapixel,Yes,8GB,1024x600 pixels,Android 4.4.2,1.3GHz dual-core,1GB,No,microSD,MediaTek MT8312,,,3200,32,4,"Classic Silver, Mystic Grey",
