url,Picture URL,Product Name,Model Name,Price in India,Total Ratings,Type,Rating,1 Stars,2 Stars,3 Stars,4 Stars,5 Stars,Description,Display Size,Screen Type,Resolution Standard,No of USB Port,No of HDMI Port,Color,Speaker Output RMS,Number of Speakers,Resolution (pixels),Power Consumption,Width x Height x Depth (without stand),Weight (without stand),Width x Height x Depth (with stand),Contrast Ratio,Speaker Type,Brightness,other_info
https://gadgets.ndtv.com/vu-75-inch-led-ultra-hd-4k-tv-vu-s-oauhd75-11362,https://i.gadgets360cdn.com/products/televisions/large/1548154943_832_vu_75-inch-led-ultra-hd-4k-tv-vu-s-oauhd75.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Vu 75 Inches Ultra HD (4K) LED Smart TV (VU/S/OAUHD75),VU/S/OAUHD75,"₹ 108,000",35,Television,4.225490196,9,3,6,17,66," Display Size : 75 inch, Screen Type : LED, Resolution : 4K, No.of USB Ports : 2, No.of HDMI Ports : 3, Color : Black, Speaker Output : 30 W, Power Consumption : 290 W, 0.5 W (Standby), Dimensions : 1677.8 mm x 961 mm x 93.9 mm (minimum - 93.9 mm), Weight : 35.1 kg, Constrast Ratio : 10000000:1 (Static). 10000000:1 (Dynamic), Brightness : 450 nits",75 inch,LED,4K,2,3,Black,30 W,2,3840x2160,"290 W, 0.5 W (Standby)",1677.8 mm x 961 mm x 93.9 mm (minimum - 93.9 mm),35.1 kg,1677.8 mm x 1019.9 mm x 335 mm,10000000:1 (Static). 10000000:1 (Dynamic),Box Speaker,450 nits,"{'Wi-Fi Type': 'IEEE 802.11 b, g, n, ac/Dual Band - 2.4 GHz and 5.0 GHz', 'Supported Audio Formats': 'MP3, PCM, AC3, AAC, COOK, MP2', 'Picture Engine': 'Hi-end Quad Core Processor', 'Supported App - Youtube': 'Yes', 'Digital Audio Output': 'Optical', 'Operating System Present': 'Yes', 'Stand Type': 'Wall Mount and Table Top Stand', 'Screen Mirroring': 'Yes', 'Processor': 'Quad Core', 'Battery Type': 'AAA', 'Number of Cores': 'quad-core', 'Supported App - Hotstar': 'Yes', 'PC Audio In': 'Using HDMI', 'Storage Capacity': '16GB', 'Audio Out': 'Optical', 'PC D-sub': 'HDMI', 'RAM': '2.5GB', 'Picture in Picture (PIP)': 'No', 'Smart Remote': 'Yes', 'Digital Noise Filter': 'Yes', 'Graphic Processor': 'Mali T860', 'NFC Support': 'No', 'Picture And Picture (PAP)': 'No', 'Remote Charger': 'No'}"
https://gadgets.ndtv.com/vu-65-inch-led-ultra-hd-4k-tv-vu-s-oauhd65-11361,https://i.gadgets360cdn.com/products/televisions/large/1548154941_832_vu_65-inch-led-ultra-hd-4k-tv-vu-s-oauhd65.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Vu 65 Inches Ultra HD (4K) LED Smart TV (VU/S/OAUHD65),VU/S/OAUHD65,"₹ 75,999",46,Television,3.831683168,17,2,15,9,57," Display Size : 65 inch, Screen Type : LED, Resolution : 4K, No.of USB Ports : 2, No.of HDMI Ports : 3, Color : Black, Speaker Output : 24 W, Power Consumption : 200 W, 0.5 W (Standby), Dimensions : 1466.7 mm x 851.5 mm x 91.4 mm (minimum - 91.4 mm), Weight : 22 kg, Constrast Ratio : 10000000:1 (Static). 10000000:1 (Dynamic), Brightness : 450 nits",65 inch,LED,4K,2,3,Black,24 W,2,3840x2160,"200 W, 0.5 W (Standby)",1466.7 mm x 851.5 mm x 91.4 mm (minimum - 91.4 mm),22 kg,1466.7 mm x 912.8 mm x 318 mm,10000000:1 (Static). 10000000:1 (Dynamic),Box Speaker,450 nits,"{'Wi-Fi Type': 'IEEE 802.11 b, g, n, ac/Dual Band - 2.4 GHz and 5.0 GHz', 'Supported Audio Formats': 'MP3, PCM, AC3, AAC, COOK, MP2', 'Picture Engine': 'Hi-end Quad Core Processor', 'Supported App - Youtube': 'Yes', 'Digital Audio Output': 'Optical', 'Operating System Present': 'Yes', 'Stand Type': 'Wall Mount and Table Top Stand', 'Screen Mirroring': 'Yes', 'Processor': 'Quad Core', 'Battery Type': 'AAA', 'Number of Cores': 'quad-core', 'Supported App - Hotstar': 'Yes', 'PC Audio In': 'Using HDMI', 'Storage Capacity': '16GB', 'Audio Out': 'Optical', 'PC D-sub': 'HDMI', 'RAM': '2.5GB', 'Picture in Picture (PIP)': 'No', 'Smart Remote': 'Yes', 'Digital Noise Filter': 'Yes', 'Graphic Processor': 'Mali T860', 'NFC Support': 'No', 'Picture And Picture (PAP)': 'No', 'Remote Charger': 'No'}"
https://gadgets.ndtv.com/micromax-40-inch-led-full-hd-tv-40-canvas-3-9345,https://i.gadgets360cdn.com/products/televisions/large/1548153151_832_micromax_40-inch-led-full-hd-tv-40-canvas-3.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Micromax 40 Inches Full HD LED Smart TV (40 CANVAS 3),40 CANVAS 3,"₹ 17,999",365,Television,4.168316832,7,3,10,22,58," Display Size : 40 inch, Screen Type : LED, Resolution : Full-HD, No.of USB Ports : 2, No.of HDMI Ports : 3, Color : Matt Grey, Speaker Output : 24 W, Power Consumption : 65 W, 1 W (Standby), Dimensions : 905 mm x 518 mm x 85 mm, Weight : , Constrast Ratio : 5000:01:00 (Static). 16:09 (Dynamic), Brightness : 250 nits",40 inch,LED,Full-HD,2,3,Matt Grey,24 W,2,1920x1080,"65 W, 1 W (Standby)",905 mm x 518 mm x 85 mm,,905 mm x 568 mm x 200 mm,5000:01:00 (Static). 16:09 (Dynamic),Box,250 nits,"{'Wi-Fi Type': '802.11b/g/n', 'Supported Audio Formats': 'MP3, AAC', 'Picture Engine': 'Image Analysis With NAise Reduction', 'Supported App - Youtube': 'Yes', 'Supported App - Netflix': 'Yes', 'Digital Audio Output': 'Yes', 'Operating System Present': 'Yes', 'Stand Type': 'Plastic', 'Screen Mirroring': 'Yes', 'Processor': 'Quad Core', 'Number of Cores': 'quad-core', 'Supported App - Hotstar': 'Yes', 'PC Audio In': 'Yes', 'Storage Capacity': '5.5GB', 'Audio Out': 'No', 'PC D-sub': 'Yes', 'RAM': '1GB', 'Picture in Picture (PIP)': 'No', 'Smart Remote': 'No', 'Digital Noise Filter': 'Yes', 'Graphic Processor': 'Dual Core', 'NFC Support': 'No', 'Picture And Picture (PAP)': 'No', 'Remote Charger': 'No'}"
https://gadgets.ndtv.com/micromax-32-inch-led-hd-ready-tv-32-canvas-3-9093,https://i.gadgets360cdn.com/products/televisions/large/1548152916_832_micromax_32-inch-led-hd-ready-tv-32-canvas-3.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Micromax 32 Inches HD Ready LED Smart TV (32 CANVAS 3),32 CANVAS 3,"₹ 11,999",585,Television,4.25,7,2,6,24,60," Display Size : 32 inch, Screen Type : LED, Resolution : HD-Ready, No.of USB Ports : 2, No.of HDMI Ports : 3, Color : Matt Grey, Speaker Output : 24 W, Power Consumption : 45 W, 1 W (Standby), Dimensions : 728 mm x 433 mm x 85 mm, Weight : , Constrast Ratio : 1200:01:00 (Static). 16:09 (Dynamic), Brightness : 250 nits",32 inch,LED,HD-Ready,2,3,Matt Grey,24 W,2,1366x768,"45 W, 1 W (Standby)",728 mm x 433 mm x 85 mm,,728 mm x 476 mm x 200 mm,1200:01:00 (Static). 16:09 (Dynamic),Box,250 nits,"{'Wi-Fi Type': '802.11b/g/n', 'Supported Audio Formats': 'MP3, AAC', 'Picture Engine': 'Image Analysis With NAise Reduction', 'Supported App - Youtube': 'Yes', 'Supported App - Netflix': 'Yes', 'Digital Audio Output': 'Yes', 'Operating System Present': 'Yes', 'Stand Type': 'Plastic', 'Screen Mirroring': 'Yes', 'Processor': 'Quad Core', 'Number of Cores': 'quad-core', 'Supported App - Hotstar': 'Yes', 'PC Audio In': 'Yes', 'Storage Capacity': '5.5GB', 'Audio Out': 'No', 'PC D-sub': 'Yes', 'RAM': '1GB', 'Picture in Picture (PIP)': 'No', 'Smart Remote': 'No', 'Digital Noise Filter': 'Yes', 'Graphic Processor': 'Dual Core', 'NFC Support': 'No', 'Picture And Picture (PAP)': 'No', 'Remote Charger': 'No'}"
https://gadgets.ndtv.com/micromax-50-inch-led-full-hd-tv-50-canvas-3-9718,https://i.gadgets360cdn.com/products/televisions/large/1548153508_832_micromax_50-inch-led-full-hd-tv-50-canvas-3.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Micromax 50 Inches Full HD LED Smart TV (50 CANVAS 3),50 CANVAS 3,"₹ 27,499",106,Television,4.09,10,4,8,18,59," Display Size : 50 inch, Screen Type : LED, Resolution : Full-HD, No.of USB Ports : 2, No.of HDMI Ports : 3, Color : Silver, Speaker Output : 24 W, Power Consumption : 75 W, 1 W (Standby), Dimensions : 1121 mm x 652 mm x 85 mm, Weight : , Constrast Ratio : 3000:01:00 (Static). 16:09 (Dynamic), Brightness : 270 nits",50 inch,LED,Full-HD,2,3,Silver,24 W,2,1920x1080,"75 W, 1 W (Standby)",1121 mm x 652 mm x 85 mm,,1121 mm x 703 mm x 210 mm,3000:01:00 (Static). 16:09 (Dynamic),Neodymium Speakers,270 nits,"{'Wi-Fi Type': '802.11b/g/n', 'Supported Audio Formats': 'MP3, AAC', 'Picture Engine': 'Image Analysis With NAise Reduction', 'Supported App - Youtube': 'Yes', 'Supported App - Netflix': 'Yes', 'Digital Audio Output': 'Yes', 'Operating System Present': 'Yes', 'Stand Type': 'Plastic', 'Screen Mirroring': 'Yes', 'Processor': 'Quad Core', 'Number of Cores': 'quad-core', 'Supported App - Hotstar': 'Yes', 'PC Audio In': 'Yes', 'Storage Capacity': '5.5GB', 'Audio Out': 'No', 'PC D-sub': 'Yes', 'RAM': '1GB', 'Picture in Picture (PIP)': 'No', 'Smart Remote': 'No', 'Digital Noise Filter': 'Yes', 'Graphic Processor': 'Dual Core', 'NFC Support': 'No', 'Picture And Picture (PAP)': 'No', 'Remote Charger': 'No'}"
https://gadgets.ndtv.com/iffalcon-55-inch-led-ultra-hd-4k-tv-55k2a-9798,https://i.gadgets360cdn.com/products/televisions/large/1548153579_832_iffalcon_55-inch-led-ultra-hd-4k-tv-55k2a.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Iffalcon 55 Inches Ultra HD (4K) LED Smart TV (55K2A, Black)",55K2A,"₹ 36,999",997,Television,4.069306931,12,3,5,22,58," Display Size : 55 inch, Screen Type : LED, Resolution : 4K, No.of USB Ports : 2, No.of HDMI Ports : 4, Color : Black, Speaker Output : 16 W, Power Consumption : 130 W, 0.5 W (Standby), Dimensions : 73.7 mm x 719.9 mm x 719.9 mm, Weight : 13.8 kg, Constrast Ratio : 6000:1 Static, Brightness : 280 nits",55 inch,LED,4K,2,4,Black,16 W,2,3840x2160,"130 W, 0.5 W (Standby)",73.7 mm x 719.9 mm x 719.9 mm,13.8 kg,1243.6 mm x 778.7 mm x 214.6 mm,6000:1 Static,Stereo Box Speaker,280 nits,"{'Wi-Fi Type': '802.11 a/b/g/n 2.4 GHz/5 GHz', 'Supported Audio Formats': 'MP3, WMA', 'Picture Engine': 'Mali T860 MP2', 'Supported App - Youtube': 'Yes', 'Supported App - Netflix': 'Yes', 'Digital Audio Output': 'Yes', 'Stand Type': 'birds leg', 'Screen Mirroring': 'Yes', 'Processor': 'Quad Core A53', 'Battery Type': 'AAA', 'Number of Cores': 'quad-core', 'Supported App - Hotstar': 'Yes', 'PC Audio In': 'No', 'Storage Capacity': '16GB', 'Audio Out': 'Headphone only', 'PC D-sub': 'No', 'RAM': '2.5GB', 'Picture in Picture (PIP)': 'No', 'Smart Remote': 'Yes', 'Digital Noise Filter': 'Yes', 'Graphic Processor': 'Dual Core Mali', 'NFC Support': 'No', 'Picture And Picture (PAP)': 'No', 'Remote Charger': 'No'}"
https://gadgets.ndtv.com/vu-55-inch-led-ultra-hd-4k-tv-premium-55-oa-price-in-india-92077,https://i.gadgets360cdn.com/products/large/vu-55-oa-55-oa-v1-original-imafqfjrx7zze7ph-416x266-1587537613.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Vu 55 Inches Ultra HD (4K) LED Smart TV (Premium 55-OA, Black)",55-OA,"₹ 36,999","1,027",Television,4.225490196,7,3,7,23,61," Display Size : 55 inch, Screen Type : LED, Resolution : 4K, No.of USB Ports : 2, No.of HDMI Ports : 3, Color : Black, Speaker Output : 24W, Power Consumption : 160W, 0.5W (Standby), Dimensions : 124.2cm x 71.8cm x 7.3cm, Weight : 14kg, Constrast Ratio : 10000000:1 (Static), Brightness : 450 nits",55 inch,LED,4K,2,3,Black,24W,2,3840x2160,"160W, 0.5W (Standby)",124.2cm x 71.8cm x 7.3cm,14kg,124.2cm x 73.5cm x 23.9cm,10000000:1 (Static),Box Speakers,450 nits,"{'Wi-Fi Type': '802.11ac', 'Supported Audio Formats': 'MP3, PCM, AC3, AAC, COOK, MP2', 'Picture Engine': 'Hi End Quad Core Processor', 'Supported App - Youtube': 'Yes', 'Supported App - Netflix': 'No', 'Digital Audio Output': 'Yes', 'Operating System Present': 'Yes', 'Stand Type': 'Wall Mount and Table Top Stand', 'Screen Mirroring': 'Yes', 'Battery Type': 'AAA', 'Number of Cores': 'quad-core', 'Supported App - Hotstar': 'Yes', 'PC Audio In': 'Yes', 'Storage Capacity': '16GB', 'Audio Out': 'Optical, ARC, Headhphone Out', 'PC D-sub': 'Yes', 'RAM': '1.75GB', 'Composite In (Audio Video Cable)': 'No', 'Picture in Picture (PIP)': 'No', 'Smart Remote': 'Yes', 'Digital Noise Filter': 'Yes', 'Graphic Processor': 'Mali-450 MP', 'App Store Type': 'Google Play Store', 'Other Power Features': 'Environmental Condition - Humidity: 20% to 80% RH, Environmental Condition Temperature: 5 to 45 DegreeC'}"
https://gadgets.ndtv.com/micromax-49-inch-led-ultra-hd-4k-tv-49ta7000uhd-price-in-india-92099,https://i.gadgets360cdn.com/products/large/micromax-55ta7000uhd-original-imaffg4pngvpvm4x-416x245-1588062193.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Micromax 49 Inches Ultra HD (4K) LED Smart TV (49TA7000UHD, Black)",49TA7000UHD,"₹ 33,999",27,Television,4.297029703,7,4,0,26,63," Display Size : 49 inch, Screen Type : LED, Resolution : 4K, No.of USB Ports : 2, No.of HDMI Ports : 3, Color : Black, Speaker Output : 30W, Power Consumption : 130W, 0.5W (Standby), Dimensions : 109.2cm x 66.5cm x 25.8cm, Weight : , Constrast Ratio : 4000:01:00 (Static), Brightness : 350 nits",49 inch,LED,4K,2,3,Black,30W,2,3840x2160,"130W, 0.5W (Standby)",109.2cm x 66.5cm x 25.8cm,,109.2cm x 72.8cm x 26.3cm,4000:01:00 (Static),Box Type,350 nits,"{'Wi-Fi Type': '802.11a/b/g/n/ac; 2.4G+5G', 'Supported Audio Formats': 'MP3, AAC', 'Supported App - Youtube': 'Yes', 'Supported App - Netflix': 'Yes', 'Digital Audio Output': 'Yes', 'Operating System Present': 'Yes', 'Stand Type': 'Metal', 'Screen Mirroring': 'Yes', 'Processor': 'Quadcore', 'Number of Cores': 'dual-core', 'Supported App - Hotstar': 'Yes', 'PC Audio In': 'No', 'Storage Capacity': '16GB', 'Audio Out': 'No', 'PC D-sub': 'No', 'RAM': '2.5GB', 'Composite In (Audio Video Cable)': 'No', 'Picture in Picture (PIP)': 'No', 'Smart Remote': 'Yes', 'Digital Noise Filter': 'Yes', 'App Store Type': 'Google Play Store', 'NFC Support': 'No', 'Remote Charger': 'No'}"
https://gadgets.ndtv.com/vu-86-inch-led-ultra-hd-4k-tv-pixelight-hdr-vu-c-pxuhd86-price-in-india-92076,https://i.gadgets360cdn.com/products/large/vu-86-inch-led-ultra-hd-4k-tv-pixelight-hdr-vu-c-pxuhd86-1311x800-1591796840.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Vu 86 Inches Ultra HD (4K) LED Smart TV (Pixelight HDR VU/C/PXUHD86, Black)",VU/C/PXUHD86,"₹ 400,000",,Television,0.9900990099,100,0,0,0,0," Display Size : 86 inch, Screen Type : LED, Resolution : 4K, No.of USB Ports : 2, No.of HDMI Ports : 3, Color : Black, Speaker Output : 39W, Power Consumption : 300W, 0.5W (Standby), Dimensions : 1938.4mm x 1118.6mm x 93.2mm, Weight : 52.4kg, Constrast Ratio : 10000000:1 (Static) 10000000:1 (Dynamic), Brightness : 450 nits",86 inch,LED,4K,2,3,Black,39W,3,3840x2160,"300W, 0.5W (Standby)",1938.4mm x 1118.6mm x 93.2mm,52.4kg,1938.4mm x 1158.6mm x 341.9mm,10000000:1 (Static) 10000000:1 (Dynamic),Box Speaker,450 nits,"{'Wi-Fi Type': 'IEEE 802.11 b, g, n, ac/2.4 GHz', 'Supported Audio Formats': 'MP3, PCM, AC3, AAC, COOK, MP2', 'Picture Engine': 'Hi-end Dual Core Processor', 'Supported App - Youtube': 'Yes', 'Supported App - Netflix': 'No', 'Digital Audio Output': 'Yes', 'Operating System Present': 'Yes', 'Stand Type': 'Wall Mount and Table Top Stand', 'Screen Mirroring': 'Yes', 'Battery Type': 'AAA', 'Number of Cores': 'dual-core', 'Supported App - Hotstar': 'Yes', 'PC Audio In': 'Yes', 'Storage Capacity': '4GB', 'PC D-sub': 'Yes', 'RAM': '1.5GB', 'Composite In (Audio Video Cable)': 'Component or Y Pb (Cb) Pr (Cr): 1', 'Picture in Picture (PIP)': 'No', 'Smart Remote': 'Yes', 'Digital Noise Filter': 'Yes', 'Graphic Processor': 'Mali 450', 'App Store Type': 'Huan, Opera', 'NFC Support': 'No', 'Stand Features': 'Metal'}"
https://gadgets.ndtv.com/micromax-40-inch-led-full-hd-tv-40cam6sfhd-price-in-india-91809,https://i.gadgets360cdn.com/products/large/micromax-40cam6sfhd-original-imafhyaa5tp96qsm-416x247-1584786663.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Micromax 40 Inches Full HD LED Smart TV (40CAM6SFHD, Black)",40CAM6SFHD,"₹ 18,999",800,Television,4.166666667,8,3,8,23,59," Display Size : 40 inch, Screen Type : LED, Resolution : , No.of USB Ports : 1, No.of HDMI Ports : 2, Color : Black, Speaker Output : 20W, Power Consumption : 55W, 0.5W (Standby), Dimensions : , Weight : , Constrast Ratio : 5000:1 (Static), Brightness : 250 nits",40 inch,LED,,1,2,Black,20W,2,1920x1080,"55W, 0.5W (Standby)",,,,5000:1 (Static),Box,250 nits,"{'Supported Audio Formats': 'MP3', 'Picture Engine': 'CLCP', 'Supported App - Youtube': 'Yes', 'Supported App - Netflix': 'No', 'Digital Audio Output': 'Yes', 'Operating System Present': 'Yes', 'Screen Mirroring': 'Yes', 'Processor': 'Quad Core', 'Battery Type': 'AAA', 'Number of Cores': 'quad-core', 'Supported App - Hotstar': 'Yes', 'PC Audio In': 'No', 'Storage Capacity': '8GB', 'Audio Out': 'Yes', 'PC D-sub': 'No', 'RAM': '1GB', 'Composite In (Audio Video Cable)': 'Yes', 'Picture in Picture (PIP)': 'No', 'Smart Remote': 'No', 'Digital Noise Filter': 'Yes', 'Graphic Processor': 'Mali470 MP3', 'App Store Type': 'Google Play Store', 'NFC Support': 'No', 'Picture And Picture (PAP)': 'No', 'Remote Charger': 'No'}"
